,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
0,0,The Suicide Squad,2021,2h 12min,76,8.0,211,111,James Gunn,James Gunn,Atlas Entertainment,0,0,6700000,1.90 : 1,132
1,1,Jungle Cruise,2021,2h 7min,50,6.7,505,194,Jaume Collet-Serra,Michael Green,Davis Entertainment,200000000,43411300,71041300,2.39 : 1,127
2,2,Black Widow,2021,2h 14min,67,6.9,2200,314,Cate Shortland,Eric Pearson,Marvel Studios,200000000,168858535,345358535,2.39 : 1,134
3,3,Jolt,2021,1h 31min,48,5.5,335,90,Tanya Wexler,Scott Wascha,Busted Shark Productions,0,0,37986,2.35 : 1,91
4,4,F9,2021,2h 23min,58,5.3,1400,217,Justin Lin,Daniel Casey,One Race Films,0,169277480,643047480,2.39 : 1,143
5,5,Snake Eyes: G.I. Joe Origins,2021,2h 1min,43,5.7,168,69,Robert Schwentke,Evan Spiliotopoulos,Paramount Pictures,88000000,23506269,30006269,2.39 : 1,121
6,6,The Tomorrow War,2021,2h 18min,45,6.6,3500,194,Chris McKay,Zach Dean,Skydance Media,200000000,0,0,2.39 : 1,138
7,7,Gunpowder Milkshake,2021,1h 54min,48,6.0,515,104,Navot Papushado,Navot Papushado,StudioCanal,30000000,0,698593,2.39 : 1,114
8,8,Wrath of Man,2021,1h 59min,57,7.2,957,176,Guy Ritchie,Nicolas Boukhrief,Metro-Goldwyn-Mayer (MGM),0,27466489,102466489,2.39 : 1,119
9,9,Hitman's Wife's Bodyguard,2021,1h 40min,32,6.2,455,170,Patrick Hughes,Tom O'Connor,Millennium Media,0,37794379,66163133,2.39 : 1,100
10,10,The Forever Purge,2021,1h 43min,53,5.4,365,120,Everardo Gout,James DeMonaco,Universal Pictures,18000000,43021925,63949925,1.85 : 1,103
11,11,Suicide Squad,2016,2h 3min,40,5.9,2400,680,David Ayer,David Ayer,Atlas Entertainment,175000000,325100054,746846894,2.39 : 1,123
12,12,Nobody,2021,1h 32min,64,7.4,1600,240,Ilya Naishuller,Derek Kolstad,87North,16000000,27268035,55405035,2.35 : 1,92
13,13,Midnight in the Switchgrass,2021,1h 39min,21,4.3,85,31,Randall Emmett,Alan Horsnail,Emmett/Furla/Oasis Films (EFO Films),15000000,0,0,2.39 : 1,99
14,14,Escape Room: Tournament of Champions,2021,1h 28min,48,6.1,124,59,Adam Robitel,Will Honley,Columbia Pictures,15000000,21249409,31749409,,88
15,15,Tenet,2020,2h 30min,69,7.4,5100,492,Christopher Nolan,Christopher Nolan,Warner Bros.,205000000,58456624,363656624,,150
16,16,Army of the Dead,2021,2h 28min,57,5.8,3800,138,Zack Snyder,Zack Snyder,The Stone Quarry,70000000,0,0,1.78 : 1,148
17,17,Avengers: Endgame,2019,3h 1min,78,8.4,9200,581,Anthony Russo,Christopher Markus,Marvel Studios,356000000,858373000,2797501328,,181
18,18,The Magnificent Seven,2016,2h 12min,54,6.9,542,391,Antoine Fuqua,Akira Kurosawa,Metro-Goldwyn-Mayer (MGM),90000000,93432655,162360636,2.39 : 1,132
19,19,Raya and the Last Dragon,2021,1h 47min,75,7.4,1100,250,Don Hall,Qui Nguyen,Walt Disney Animation Studios,0,54696610,122562999,2.39 : 1,107
20,20,The Hunt,2020,1h 30min,50,6.5,100,280,Craig Zobel,Nick Cuse,Blumhouse Productions,14000000,5812500,11473631,2.39 : 1,90
21,21,Zack Snyder's Justice League,2021,4h 2min,54,8.1,7700,287,Zack Snyder,Jerry Siegel,Atlas Entertainment,0,0,0,1.33 : 1,242
22,22,Infinite,2021,1h 46min,28,5.4,583,54,Antoine Fuqua,Ian Shorr,Paramount Pictures,0,0,0,2.39 : 1,106
23,23,Mortal Kombat,2021,1h 50min,44,6.1,2500,260,Simon McQuoid,Greg Russo,New Line Cinema,0,42201013,83601013,2.39 : 1,110
24,24,The Hitman's Bodyguard,2017,1h 58min,47,6.9,584,300,Patrick Hughes,Tom O'Connor,Summit Entertainment,30000000,75468583,176600207,2.39 : 1,118
25,25,The Matrix,1999,2h 16min,73,8.7,4500,345,Lana Wachowski,Lilly Wachowski,Warner Bros.,63000000,171479930,466364845,2.39 : 1,136
26,26,Godzilla vs. Kong,2021,1h 53min,59,6.4,200,338,Adam Wingard,Terry Rossio,Legendary Entertainment,200000000,100563133,467463133,2.40 : 1,113
27,27,Gladiator,2000,2h 35min,67,8.5,2700,219,Ridley Scott,David Franzoni,Dreamworks Pictures,103000000,187705427,465380802,2.39 : 1,155
28,28,Jurassic Park,1993,2h 7min,68,8.1,1200,359,Steven Spielberg,Michael Crichton,Universal Pictures,63000000,404214720,1033928303,,127
29,29,Those Who Wish Me Dead,2021,1h 40min,59,6.0,847,170,Taylor Sheridan,Michael Koryta,BRON Studios,0,7347103,23386180,2.39 : 1,100
30,30,The Dark Knight,2008,2h 32min,84,9.0,7500,434,Christopher Nolan,Jonathan Nolan,Warner Bros.,185000000,534858444,1005973645,2.39 : 1,152
31,31,The Ice Road,2021,1h 49min,42,5.6,718,68,Jonathan Hensleigh,Jonathan Hensleigh,Code Entertainment,0,0,2486641,2.39 : 1,109
32,32,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58min,92,8.8,5500,349,Peter Jackson,J.R.R. Tolkien,New Line Cinema,93000000,315710750,897690072,2.39 : 1,178
33,33,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,1h 49min,60,6.1,2500,400,Cathy Yan,Christina Hodson,Clubhouse Pictures (II),84500000,84158461,201858461,2.39 : 1,109
34,34,The Gentlemen,2019,1h 53min,51,7.8,1500,288,Guy Ritchie,Guy Ritchie,STX Films,22000000,36471795,115171795,2.39 : 1,113
35,35,Cosmic Sin,2021,1h 28min,9,2.5,699,52,Edward Drake,Edward Drake,308 Ent,0,0,1020003,2.35 : 1,88
36,36,Guardians of the Galaxy,2014,2h 1min,76,8.0,1400,728,James Gunn,James Gunn,Marvel Studios,170000000,333718600,773350147,2.39 : 1,121
37,37,Inception,2010,2h 28min,74,8.8,4300,482,Christopher Nolan,Christopher Nolan,Warner Bros.,160000000,292576195,836836967,2.39 : 1,148
38,38,Avengers: Infinity War,2018,2h 29min,68,8.4,4400,621,Anthony Russo,Christopher Markus,Marvel Studios,321000000,678815482,2048359754,,149
39,39,Thor: Ragnarok,2017,2h 10min,74,7.9,1700,529,Taika Waititi,Eric Pearson,Walt Disney Pictures,180000000,315058289,853983911,2.39 : 1,130
40,40,Escape Room,2019,1h 39min,48,6.4,780,235,Adam Robitel,Bragi F. Schut,Columbia Pictures,9000000,57005601,155712077,2.39 : 1,99
41,41,Blade Runner 2049,2017,2h 44min,81,8.0,2300,641,Denis Villeneuve,Hampton Fancher,Alcon Entertainment,150000000,92054159,259334548,2.39 : 1,164
42,42,Wonder Woman 1984,2020,2h 31min,60,5.4,700,397,Patty Jenkins,Patty Jenkins,Atlas Entertainment,0,46534027,166534027,2.39 : 1,151
43,43,Guns Akimbo,2019,1h 38min,42,6.3,452,153,Jason Lei Howden,Jason Lei Howden,Altitude Film Entertainment,15000000,0,1034769,2.39 : 1,98
44,44,The Fast and the Furious,2001,1h 46min,58,6.8,1100,210,Rob Cohen,Ken Li,Universal Pictures,38000000,144533925,207305509,2.39 : 1,106
45,45,Blade Runner,1982,1h 57min,84,8.1,1600,274,Ridley Scott,Hampton Fancher,The Ladd Company,28000000,32868943,41676878,2.39 : 1,117
46,46,G.I. Joe: The Rise of Cobra,2009,1h 58min,32,5.8,572,142,Stephen Sommers,Stuart Beattie,Paramount Pictures,175000000,150201498,302469017,2.39 : 1,118
47,47,Jumanji: Welcome to the Jungle,2017,1h 59min,58,6.9,940,317,Jake Kasdan,Chris McKenna,Columbia Pictures,90000000,404540171,962542945,2.39 : 1,119
48,48,Captain Marvel,2019,2h 3min,64,6.8,7200,527,Anna Boden,Anna Boden,Walt Disney Pictures,160000000,426829839,1128462972,2.39 : 1,123
49,49,Ford v Ferrari,2019,2h 32min,81,8.1,1400,350,James Mangold,Jez Butterworth,Chernin Entertainment,97600000,117624357,225508210,2.39 : 1,152
50,50,Watchmen,2009,2h 42min,56,7.6,1400,490,Zack Snyder,Dave Gibbons,Warner Bros.,130000000,107509799,185382813,2.39 : 1,162
51,51,Guardians of the Galaxy Vol. 2,2017,2h 16min,67,7.6,1100,591,James Gunn,James Gunn,Marvel Studios,200000000,389813101,863756051,2.39 : 1,136
52,52,Kill Bill: Vol. 1,2003,1h 51min,69,8.1,2300,343,Quentin Tarantino,Quentin Tarantino,Miramax,30000000,70099045,180906076,2.39 : 1,111
53,53,The Avengers,2012,2h 23min,69,8.0,200,762,Joss Whedon,Joss Whedon,Marvel Studios,220000000,623357910,1518815515,1.85 : 1,143
54,54,The Twilight Saga: Eclipse,2010,2h 4min,58,5.0,490,295,David Slade,Melissa Rosenberg,Summit Entertainment,68000000,300531751,698491347,2.35 : 1,124
55,55,Tombstone,1993,2h 10min,0,7.8,0,0,George P. Cosmatos,Kevin Jarre,Hollywood Pictures,25000000,56505065,56505065,2.35 : 1,130
56,56,300,2006,1h 57min,52,7.6,2200,482,Zack Snyder,Zack Snyder,Warner Bros.,65000000,210614939,456068181,2.35 : 1,117
57,57,The Dark Knight Rises,2012,2h 44min,78,8.4,3400,557,Christopher Nolan,Jonathan Nolan,Warner Bros.,250000000,448139099,1081142612,2.39 : 1,164
58,58,Black Panther,2018,2h 14min,88,7.3,3300,501,Ryan Coogler,Ryan Coogler,Marvel Studios,200000000,700426566,1347597973,2.39 : 1,134
59,59,Terminator 2: Judgment Day,1991,2h 17min,75,8.5,1300,308,James Cameron,James Cameron,Carolco Pictures,102000000,205881154,520881154,2.39 : 1,137
60,60,Thor,2011,1h 55min,57,7.0,970,574,Kenneth Branagh,Ashley Miller,Paramount Pictures,150000000,181030624,449326618,2.39 : 1,115
61,61,The Hunger Games,2012,2h 22min,68,7.2,200,492,Gary Ross,Gary Ross,Lionsgate,78000000,408010692,694394724,2.35 : 1,142
62,62,Spider-Man: Far from Home,2019,2h 9min,69,7.5,2100,427,Jon Watts,Chris McKenna,Columbia Pictures,160000000,390532085,1131927996,2.39 : 1,129
63,63,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23min,63,8.0,2200,293,Gore Verbinski,Ted Elliott,Walt Disney Pictures,140000000,305413918,654264015,2.39 : 1,143
64,64,Léon,1994,1h 50min,64,8.5,1300,145,Luc Besson,Luc Besson,Gaumont,0,19501238,19552639,2.39 : 1,110
65,65,Fast & Furious Presents: Hobbs & Shaw,2019,2h 17min,60,6.4,1300,318,David Leitch,Chris Morgan,Chris Morgan Productions,200000000,173956935,759056935,2.39 : 1,137
66,66,Deadpool,2016,1h 48min,65,8.0,1500,665,Tim Miller,Rhett Reese,Twentieth Century Fox,58000000,363070709,782836791,2.39 : 1,108
67,67,Captain America: The First Avenger,2011,2h 4min,66,6.9,974,567,Joe Johnston,Christopher Markus,Paramount Pictures,140000000,176654505,370569774,2.39 : 1,124
68,68,Iron Man,2008,2h 6min,79,7.9,1400,549,Jon Favreau,Mark Fergus,Paramount Pictures,140000000,319034126,585796247,2.39 : 1,126
69,69,The Accountant,2016,2h 8min,51,7.3,583,340,Gavin O'Connor,Bill Dubuque,Warner Bros.,44000000,86260045,155160045,2.39 : 1,128
70,70,Chaos Walking,2021,1h 49min,38,5.7,571,151,Doug Liman,Patrick Ness,3 Arts Entertainment,125000000,13287908,24942613,2.39 : 1,109
71,71,Avatar,2009,2h 42min,83,7.8,3500,488,James Cameron,James Cameron,Twentieth Century Fox,237000000,760507625,2847246203,,162
72,72,Spider-Man: Homecoming,2017,2h 13min,73,7.4,1400,581,Jon Watts,Jonathan Goldstein,Columbia Pictures,175000000,334201140,880166924,2.39 : 1,133
73,73,Star Wars: Episode IX - The Rise of Skywalker,2019,2h 21min,53,6.5,7800,516,J.J. Abrams,Chris Terrio,Walt Disney Pictures,275000000,515202542,1078232589,2.39 : 1,141
74,74,Spider-Man: Into the Spider-Verse,2018,1h 57min,87,8.4,200,412,Bob Persichetti,Phil Lord,Sony Pictures Entertainment (SPE),90000000,190241310,375540831,2.39 : 1,117
75,75,Avengers: Age of Ultron,2015,2h 21min,66,7.3,1300,698,Joss Whedon,Joss Whedon,Marvel Studios,250000000,459005868,1402809540,2.39 : 1,141
76,76,John Wick,2014,1h 41min,68,7.4,1300,464,Chad Stahelski,Derek Kolstad,Summit Entertainment,20000000,43037835,86081711,2.39 : 1,101
77,77,Deadpool 2,2018,1h 59min,66,7.7,1300,530,David Leitch,Rhett Reese,Twentieth Century Fox,110000000,324591735,786470484,2.39 : 1,119
78,78,Baywatch,2017,1h 56min,37,5.5,492,333,Seth Gordon,Michael Berk,Paramount Pictures,69000000,58060186,177856751,2.39 : 1,116
79,79,Greenland,2020,1h 59min,64,6.4,1500,185,Ric Roman Waugh,Chris Sparling,STX Films,56000000,0,52300000,2.39 : 1,119
80,80,Raiders of the Lost Ark,1981,1h 55min,85,8.4,100,272,Steven Spielberg,Lawrence Kasdan,Paramount Pictures,18000000,248159971,389925971,2.39 : 1,115
81,81,Tom Clancy's Without Remorse,2021,1h 49min,41,5.8,1600,151,Stefano Sollima,Taylor Sheridan,New Republic Pictures,0,0,0,2.39 : 1,109
82,82,Fast & Furious 7,2015,2h 17min,67,7.1,773,463,James Wan,Chris Morgan,Universal Pictures,190000000,353007020,1515341399,2.39 : 1,137
83,83,Mad Max: Fury Road,2015,2h,90,8.1,2100,840,George Miller,George Miller,Warner Bros.,150000000,154058340,375658750,2.39 : 1,120
84,84,The Mummy,1999,2h 4min,48,7.0,1100,134,Stephen Sommers,Stephen Sommers,Universal Pictures,80000000,155385488,415933406,2.39 : 1,124
85,85,The Misfits,2021,1h 34min,25,4.1,315,18,Renny Harlin,Kurt Wimmer,FilmGate Productions,15000000,0,1275530,2.39 : 1,94
86,86,Ghostbusters,2016,1h 57min,60,6.7,2300,694,Paul Feig,Katie Dippold,Columbia Pictures,144000000,128350574,229147509,2.39 : 1,117
87,87,Sicario,2015,2h 1min,82,7.6,793,552,Denis Villeneuve,Taylor Sheridan,Lionsgate,30000000,46889293,84872444,2.39 : 1,121
88,88,Edge of Tomorrow,2014,1h 53min,71,7.9,100,633,Doug Liman,Christopher McQuarrie,Warner Bros.,178000000,100206256,370541256,2.35 : 1,113
89,89,The Lord of the Rings: The Return of the King,2003,3h 21min,94,8.9,3800,359,Peter Jackson,J.R.R. Tolkien,New Line Cinema,94000000,377845905,1146030912,2.39 : 1,201
90,90,Baby Driver,2017,1h 53min,86,7.6,1200,595,Edgar Wright,Edgar Wright,TriStar Pictures,34000000,107825862,226945087,2.39 : 1,113
91,91,Spider-Man,2002,2h 1min,73,7.3,2100,331,Sam Raimi,Stan Lee,Columbia Pictures,139000000,407022860,825025036,1.85 : 1,121
92,92,Jumanji: The Next Level,2019,2h 3min,58,6.7,100,248,Jake Kasdan,Jake Kasdan,Columbia Pictures,125000000,320314960,800059707,2.39 : 1,123
93,93,Love and Monsters,2020,1h 49min,63,7.0,896,177,Michael Matthews,Brian Duffield,Paramount Pictures,0,1070714,1122066,2.35 : 1,109
94,94,Dunkirk,2017,1h 46min,94,7.8,2500,635,Christopher Nolan,Christopher Nolan,Syncopy,100000000,189740665,527016307,,106
95,95,Star Trek,2009,2h 7min,82,7.9,1600,528,J.J. Abrams,Roberto Orci,Paramount Pictures,150000000,257730019,385680446,2.35 : 1,127
96,96,The Fast and the Furious: Tokyo Drift,2006,1h 44min,45,6.0,484,184,Justin Lin,Chris Morgan,Universal Pictures,85000000,62514415,158964610,2.39 : 1,104
97,97,Independence Day,1996,2h 25min,59,7.0,994,206,Roland Emmerich,Dean Devlin,Twentieth Century Fox,75000000,306169268,817400891,2.39 : 1,145
98,98,Aliens,1986,2h 17min,84,8.3,1400,214,James Cameron,James Cameron,Twentieth Century Fox,18500000,85160248,131060248,1.85 : 1,137
99,99,Cold Pursuit,2019,1h 59min,57,6.2,721,216,Hans Petter Moland,Frank Baldwin,Summit Entertainment,60000000,32138862,76419755,2.39 : 1,119
100,100,The Matrix Reloaded,2003,2h 18min,62,7.2,2800,161,Lana Wachowski,Lilly Wachowski,Warner Bros.,150000000,281576461,741847937,2.39 : 1,138
101,101,Crawl,2019,1h 27min,60,6.1,100,316,Alexandre Aja,Michael Rasmussen,Paramount Pictures,13500000,39014193,91542097,2.35 : 1,87
102,102,Warcraft,2016,2h 3min,32,6.8,100,369,Duncan Jones,Charles Leavitt,Legendary Entertainment,160000000,47365290,439048914,2.39 : 1,123
103,103,The Last Airbender,2010,1h 43min,20,4.0,1600,298,M. Night Shyamalan,M. Night Shyamalan,Paramount Pictures,150000000,131772187,319713881,2.35 : 1,103
104,104,Aquaman,2018,2h 23min,55,6.9,4300,458,James Wan,David Leslie Johnson-McGoldrick,Warner Bros.,160000000,335061807,1148485886,2.39 : 1,143
105,105,G.I. Joe: Retaliation,2013,1h 50min,41,5.8,333,370,Jon M. Chu,Rhett Reese,Paramount Pictures,130000000,122523060,375740705,2.39 : 1,110
106,106,Kingsman: The Secret Service,2014,2h 9min,60,7.7,984,465,Matthew Vaughn,Jane Goldman,Twentieth Century Fox,81000000,128261724,414351546,2.39 : 1,129
107,107,The Equalizer,2014,2h 12min,57,7.2,671,329,Antoine Fuqua,Richard Wenk,Columbia Pictures,55000000,101530738,192330738,2.39 : 1,132
108,108,The Marksman,2021,1h 48min,44,5.6,320,88,Robert Lorenz,Chris Charles,Cutting Edge Group,23000000,15566093,22776754,2.39 : 1,108
109,109,Gemini Man,2019,1h 57min,38,5.7,1100,285,Ang Lee,David Benioff,Skydance Media,138000000,48546770,173469516,1.85 : 1,117
110,110,Scott Pilgrim vs. the World,2010,1h 52min,69,7.5,771,431,Edgar Wright,Michael Bacall,Universal Pictures,60000000,32777690,48917974,1.85 : 1,112
111,111,Anna,2019,1h 58min,40,6.6,739,140,Luc Besson,Luc Besson,Summit Entertainment,0,7743794,31626978,2.35 : 1,118
112,112,The Fifth Element,1997,2h 6min,52,7.7,907,187,Luc Besson,Luc Besson,Gaumont,93000000,63820180,263920180,2.39 : 1,126
113,113,The Old Guard,2020,2h 5min,70,6.7,1700,257,Gina Prince-Bythewood,Greg Rucka,Netflix,0,0,0,2.39 : 1,125
114,114,Venom,2018,1h 52min,35,6.7,3700,419,Ruben Fleischer,Jeff Pinkner,Avi Arad Productions,100000000,213515506,856085151,2.39 : 1,112
115,115,Star Wars,1977,2h 1min,90,8.6,1900,200,George Lucas,George Lucas,Lucasfilm,11000000,460998507,775398007,,121
116,116,Die in a Gunfight,2021,1h 32min,23,4.4,20,22,Collin Schiffli,Andrew Barrer,Align,0,0,37954,2.39 : 1,92
117,117,6 Underground,2019,2h 8min,41,6.1,2400,123,Michael Bay,Paul Wernick,Skydance Media,150000000,0,0,2.39 : 1,128
118,118,The Fate of the Furious,2017,2h 16min,56,6.6,642,437,F. Gary Gray,Gary Scott Thompson,Universal Pictures,250000000,226008385,1236005118,2.39 : 1,136
119,119,Captain America: Civil War,2016,2h 27min,75,7.8,1400,673,Anthony Russo,Christopher Markus,Marvel Studios,250000000,408084349,1153337496,2.39 : 1,147
120,120,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57min,75,8.3,297,39,Haruo Sotozaki,Koyoharu Gotouge,Aniplex,0,47700000,453084942,1.78 : 1,117
121,121,Mulan,2020,1h 55min,66,5.7,2900,255,Niki Caro,Rick Jaffa,Walt Disney Pictures,200000000,0,66800000,2.39 : 1,115
122,122,Ready Player One,2018,2h 20min,64,7.4,2100,598,Steven Spielberg,Zak Penn,Warner Bros.,175000000,137690172,582893671,2.39 : 1,140
123,123,Batman Begins,2005,2h 20min,70,8.2,300,332,Christopher Nolan,Bob Kane,Warner Bros.,150000000,206852432,373661946,2.39 : 1,140
124,124,Monster Hunter,2020,1h 43min,47,5.3,957,137,Paul W.S. Anderson,Paul W.S. Anderson,Constantin Film,60000000,15162470,42145959,2.39 : 1,103
125,125,Wonder Woman,2017,2h 21min,76,7.4,2400,724,Patty Jenkins,Allan Heinberg,Warner Bros.,149000000,412815408,822824522,2.39 : 1,141
126,126,Doctor Strange,2016,1h 55min,72,7.5,100,488,Scott Derrickson,Jon Spaihts,Marvel Studios,165000000,232641920,677796076,,115
127,127,Ready or Not,2019,1h 35min,64,6.9,100,357,Matt Bettinelli-Olpin,Guy Busick,Fox Searchlight Pictures,6000000,28714231,57615777,2.39 : 1,95
128,128,The Girl in the Spider's Web,2018,1h 55min,43,6.1,462,210,Fede Alvarez,David Lagercrantz,Columbia Pictures,43000000,14841338,35164920,2.39 : 1,115
129,129,Kong: Skull Island,2017,1h 58min,62,6.6,100,604,Jordan Vogt-Roberts,Dan Gilroy,Warner Bros.,185000000,168052812,566652812,2.41 : 1,118
130,130,The Perfect Storm,2000,2h 10min,59,6.4,808,191,Wolfgang Petersen,Sebastian Junger,Warner Bros.,140000000,182618434,328718434,2.39 : 1,130
131,131,Underworld,2003,2h 1min,42,7.0,856,229,Len Wiseman,Kevin Grevioux,Lakeshore Entertainment,22000000,51970690,95708457,2.35 : 1,121
132,132,The Revenant,2015,2h 36min,76,8.0,1700,653,Alejandro G. Iñárritu,Mark L. Smith,New Regency Productions,135000000,183637894,532950503,2.39 : 1,156
133,133,Justice League,2017,2h,45,6.1,2200,480,Zack Snyder,Jerry Siegel,Warner Bros.,300000000,229024295,657926987,1.85 : 1,120
134,134,Iron Man 2,2010,2h 4min,57,7.0,942,502,Jon Favreau,Justin Theroux,Paramount Pictures,200000000,312433331,623933331,2.39 : 1,124
135,135,Iron Man Three,2013,2h 10min,62,7.1,1300,649,Shane Black,Drew Pearce,Marvel Studios,200000000,409013994,1214811252,2.39 : 1,130
136,136,The Lord of the Rings: The Two Towers,2002,2h 59min,87,8.7,2600,329,Peter Jackson,J.R.R. Tolkien,New Line Cinema,94000000,342551365,947495095,2.39 : 1,179
137,137,Jurassic World,2015,2h 4min,59,7.0,1500,698,Colin Trevorrow,Rick Jaffa,Universal Pictures,150000000,652385625,1670516444,2.00 : 1,124
138,138,Shazam!,2019,2h 12min,71,7.0,2100,395,David F. Sandberg,Henry Gayden,Warner Bros.,100000000,140371656,365971656,2.39 : 1,132
139,139,Oldeuboi,2003,2h,77,8.4,100,341,Park Chan-Wook,Garon Tsuchiya,Show East,3000000,707481,15189934,2.35 : 1,120
140,140,John Wick: Chapter 3 - Parabellum,2019,2h 10min,73,7.4,2300,394,Chad Stahelski,Derek Kolstad,Lionsgate,75000000,171015687,327281779,2.39 : 1,130
141,141,Ant-Man,2015,1h 57min,64,7.3,771,592,Peyton Reed,Edgar Wright,Gary Sanchez Productions,130000000,180202163,519311965,1.85 : 1,117
142,142,Captain America: The Winter Soldier,2014,2h 16min,70,7.7,100,619,Anthony Russo,Christopher Markus,Marvel Entertainment,170000000,259766572,714421503,2.39 : 1,136
143,143,Furious 6,2013,2h 10min,61,7.0,514,441,Justin Lin,Chris Morgan,Universal Pictures,160000000,238679850,788680968,2.39 : 1,130
144,144,Ocean's Eight,2018,1h 50min,61,6.3,1100,352,Gary Ross,Gary Ross,Warner Bros.,70000000,140218711,297718711,2.39 : 1,110
145,145,Deep Impact,1998,2h,0,6.2,0,0,Mimi Leder,Bruce Joel Rubin,Paramount Pictures,75000000,140464664,349464664,2.39 : 1,120
146,146,Pirates of the Caribbean: Dead Men Tell No Tales,2017,2h 9min,39,6.5,691,418,Joachim Rønning,Jeff Nathanson,Walt Disney Pictures,230000000,172558876,794881442,2.39 : 1,129
147,147,Casino Royale,2006,2h 24min,80,8.0,2400,188,Martin Campbell,Neal Purvis,Columbia Pictures,150000000,167445960,616502912,2.39 : 1,144
148,148,Alita: Battle Angel,2019,2h 2min,53,7.3,2800,382,Robert Rodriguez,James Cameron,Twentieth Century Fox,170000000,85838210,404980543,2.39 : 1,122
149,149,Terminator: Dark Fate,2019,2h 8min,54,6.2,3100,388,Tim Miller,David S. Goyer,Paramount Pictures,185000000,62253077,261119292,2.39 : 1,128
150,150,Harry Potter and the Order of the Phoenix,2007,2h 18min,71,7.5,1200,354,David Yates,Michael Goldenberg,Warner Bros.,150000000,292353413,942172396,2.39 : 1,138
151,151,The New Mutants,2020,1h 34min,43,5.3,1200,194,Josh Boone,Josh Boone,20th Century Studios,67000000,23852659,46996076,,94
152,152,Man of Steel,2013,2h 23min,55,7.0,2900,780,Zack Snyder,David S. Goyer,Warner Bros.,225000000,291045518,668045518,2.35 : 1,143
153,153,Batman v Superman: Dawn of Justice,2016,2h 32min,44,6.4,400,816,Zack Snyder,Chris Terrio,Warner Bros.,250000000,330360194,873637528,2.39 : 1,152
154,154,The Day After Tomorrow,2004,2h 4min,47,6.4,1200,163,Roland Emmerich,Roland Emmerich,Twentieth Century Fox,125000000,186740799,552639571,2.39 : 1,124
155,155,Unhinged,2020,1h 30min,40,6.0,1400,219,Derrick Borte,Carl Ellsworth,Burek Films,33000000,20831465,44331465,2.39 : 1,90
156,156,From Dusk Till Dawn,1996,1h 48min,48,7.2,688,186,Robert Rodriguez,Robert Kurtzman,Dimension Films,19000000,25836616,25837111,1.85 : 1,108
157,157,Hellboy,2019,2h,31,5.2,1400,269,Neil Marshall,Andrew Cosby,Summit Entertainment,50000000,21903748,55065289,2.39 : 1,120
158,158,13 Hours,2016,2h 24min,48,7.3,396,252,Michael Bay,Chuck Hogan,Paramount Pictures,50000000,52853219,69411370,2.39 : 1,144
159,159,News of the World,2020,1h 58min,73,6.8,582,229,Paul Greengrass,Paul Greengrass,Perfect World Pictures,0,12668325,12668325,2.39 : 1,118
160,160,Star Wars: Episode VIII - The Last Jedi,2017,2h 32min,84,7.0,6900,723,Rian Johnson,Rian Johnson,Walt Disney Pictures,317000000,620181382,1332698830,2.39 : 1,152
161,161,Thor: The Dark World,2013,1h 52min,54,6.8,749,533,Alan Taylor,Christopher L. Yost,Marvel Studios,170000000,206362140,644783140,2.39 : 1,112
162,162,Fury,2014,2h 14min,64,7.6,100,374,David Ayer,David Ayer,Columbia Pictures,68000000,85817906,211822697,2.35 : 1,134
163,163,Point Break,1991,2h 2min,58,7.3,404,124,Kathryn Bigelow,Rick King,Largo Entertainment,24000000,43218387,83531958,2.35 : 1,122
164,164,Kung Fu Panda,2008,1h 32min,74,7.6,471,278,Mark Osborne,Jonathan Aibel,DreamWorks Animation,130000000,215434591,631746197,2.39 : 1,92
165,165,Star Trek Beyond,2016,2h 2min,68,7.0,854,480,Justin Lin,Simon Pegg,Paramount Pictures,185000000,158848340,343471816,2.35 : 1,122
166,166,King Arthur: Legend of the Sword,2017,2h 6min,41,6.7,100,360,Guy Ritchie,Joby Harold,Warner Bros.,175000000,39175066,148675066,2.39 : 1,126
167,167,The Last of the Mohicans,1992,1h 52min,76,7.7,483,90,Michael Mann,James Fenimore Cooper,Morgan Creek Entertainment,40000000,75505856,75505856,2.35 : 1,112
168,168,Men in Black: International,2019,1h 54min,38,5.6,1100,275,F. Gary Gray,Matt Holloway,Columbia Pictures,110000000,80001807,253890701,,114
169,169,Logan,2017,2h 17min,77,8.1,1600,649,James Mangold,James Mangold,Twentieth Century Fox,97000000,226277068,619179950,2.39 : 1,137
170,170,Honest Thief,2020,1h 39min,46,6.0,511,128,Mark Williams,Steve Allrich,Argonaut Entertainment Partners,0,14163574,31139004,2.39 : 1,99
171,171,Divergent,2014,2h 19min,48,6.6,836,475,Neil Burger,Evan Daugherty,Summit Entertainment,85000000,150947895,288885818,2.35 : 1,139
172,172,Godzilla: King of the Monsters,2019,2h 12min,48,6.0,2300,393,Michael Dougherty,Michael Dougherty,Warner Bros.,170000000,110500138,386600138,2.39 : 1,132
