,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
772,772,Jack Ryan: Shadow Recruit,2014,1h 45min,57,6.2,371,339,Kenneth Branagh,Adam Cozad,Paramount Pictures,60000000,50577412,135503748,2.35 : 1,105
773,773,Enemy of the State,1998,2h 12min,67,7.3,470,95,Tony Scott,David Marconi,Touchstone Pictures,90000000,111549836,250849789,2.39 : 1,132
774,774,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,1h 52min,40,6.0,246,246,Dave Green,Josh Appelbaum,Paramount Pictures,135000000,82051601,245623848,2.35 : 1,112
775,775,Kill Me Three Times,2014,1h 30min,30,5.9,87,103,Kriv Stenders,James McFarland,Cargo Entertainment,0,24296,101807,2.35 : 1,90
776,776,Killers,2010,1h 40min,21,5.5,152,146,Robert Luketic,Bob DeRosa,Lionsgate,75000000,47059963,98159963,2.35 : 1,100
777,777,The Mechanic,2011,1h 33min,49,6.6,220,263,Simon West,Richard Wenk,CBS Films,40000000,29121498,76130093,2.35 : 1,93
778,778,The Host,2013,2h 5min,35,5.9,416,284,Andrew Niccol,Andrew Niccol,Chockstone Pictures,40000000,26627201,63365859,2.35 : 1,125
779,779,The Darkest Minds,2018,1h 44min,39,5.7,503,142,Jennifer Yuh Nelson,Chad Hodge,21 Laps Entertainment,34000000,12695691,41142379,2.39 : 1,104
780,780,Dracula Untold,2014,1h 32min,40,6.3,588,285,Gary Shore,Matt Sazama,Universal Pictures,70000000,56280355,217124280,2.39 : 1,92
781,781,R.I.P.D.,2013,1h 36min,25,5.6,292,218,Robert Schwentke,Phil Hay,Universal Pictures,130000000,33618855,78324220,2.35 : 1,96
782,782,Scouts Guide to the Zombie Apocalypse,2015,1h 33min,32,6.3,165,167,Christopher Landon,Carrie Lee Wilson,Paramount Pictures,15000000,3703046,16137046,2.35 : 1,93
783,783,Brick,2005,1h 50min,72,7.3,545,203,Rian Johnson,Rian Johnson,Bergman Lustig Productions,475000,2075743,3947579,1.85 : 1,110
784,784,How to Train Your Dragon 2,2014,1h 42min,76,7.8,425,319,Dean DeBlois,Dean DeBlois,DreamWorks Animation,145000000,177002924,621537519,2.39 : 1,102
785,785,Strange Days,1995,2h 25min,0,7.2,0,0,Kathryn Bigelow,James Cameron,Lightstorm Entertainment,42000000,7959291,7959291,2.39 : 1,145
786,786,Big Momma's House,2000,1h 39min,33,5.2,157,106,Raja Gosnell,Darryl Quarles,Twentieth Century Fox,30000000,117559438,173959438,1.85 : 1,99
787,787,Just Cause,1995,1h 42min,48,6.4,101,33,Arne Glimcher,John Katzenbach,Warner Bros.,0,36853222,36853222,2.39 : 1,102
788,788,Zathura: A Space Adventure,2005,1h 41min,67,6.2,256,134,Jon Favreau,Chris Van Allsburg,Columbia Pictures,65000000,29258869,65079104,1.85 : 1,101
789,789,The 13th Warrior,1999,1h 42min,42,6.6,609,95,John McTiernan,Michael Crichton,Touchstone Pictures,160000000,32698899,61698899,2.39 : 1,102
790,790,4: Rise of the Silver Surfer,2007,1h 32min,45,5.6,485,263,Tim Story,Don Payne,Twentieth Century Fox,130000000,131921738,301913131,2.35 : 1,92
791,791,Godzilla,1998,2h 19min,32,5.4,909,119,Roland Emmerich,Dean Devlin,Centropolis Film Productions,130000000,136314294,379014294,2.39 : 1,139
792,792,Star Trek II: The Wrath of Khan,1982,1h 53min,67,7.7,414,117,Nicholas Meyer,Gene Roddenberry,Paramount Pictures,11200000,78912963,78912963,2.39 : 1,113
793,793,I Am Number Four,2011,1h 51min,36,6.1,408,298,D.J. Caruso,Alfred Gough,Dreamworks Pictures,60000000,55100437,149878437,1.85 : 1,111
794,794,The Sorcerer's Apprentice,2010,1h 49min,46,6.1,275,244,Jon Turteltaub,Lawrence Konner,Walt Disney Pictures,150000000,63150991,215283742,2.39 : 1,109
795,795,The Lego Movie 2: The Second Part,2019,1h 47min,65,6.6,419,234,Mike Mitchell,Phil Lord,Warner Bros.,99000000,105806508,192306508,2.35 : 1,107
796,796,Sahara,2005,2h 4min,41,6.0,513,159,Breck Eisner,Clive Cussler,Paramount Pictures,130000000,68671925,119240351,2.35 : 1,124
797,797,The Wraith,1986,1h 33min,39,6.0,137,102,Mike Marvin,Mike Marvin,New Century Entertainment Corporation,2700000,3500000,3500000,1.85 : 1,93
798,798,Ying xiong,2002,2h,85,7.9,883,157,Yimou Zhang,Feng Li,Edko Films,31000000,53710019,177395557,2.35 : 1,120
799,799,The Last Castle,2001,2h 11min,43,7.0,331,106,Rod Lurie,David Scarpa,Dreamworks Pictures,72000000,18244060,27642707,2.35 : 1,131
800,800,Behind Enemy Lines,2001,1h 46min,49,6.4,450,139,John Moore,Jim Thomas,Twentieth Century Fox,40000000,58856790,91753202,2.35 : 1,106
801,801,Shoot 'Em Up,2007,1h 26min,49,6.6,474,221,Michael Davis,Michael Davis,New Line Cinema,39000000,12807139,27122238,2.35 : 1,86
802,802,Eraser,1996,1h 55min,56,6.1,154,82,Chuck Russell,Tony Puryear,Kopelson Entertainment,100000000,101295562,242295562,2.39 : 1,115
803,803,Cliffhanger,1993,1h 53min,60,6.4,232,96,Renny Harlin,John Long,Carolco Pictures,70000000,84049211,255000211,2.39 : 1,113
804,804,Home Alone 3,1997,1h 42min,0,4.5,206,42,Raja Gosnell,John Hughes,Twentieth Century Fox,32000000,30882515,79082515,1.85 : 1,102
805,805,Mr. Right,2015,1h 35min,52,6.4,266,78,Paco Cabezas,Max Landis,Amasia Entertainment,8000000,34694,607595,2.35 : 1,95
806,806,The Saint,1997,1h 56min,0,6.2,0,0,Phillip Noyce,Leslie Charteris,Paramount Pictures,68000000,61363304,118063304,2.39 : 1,116
807,807,Judge Dredd,1995,1h 36min,0,5.6,0,0,Danny Cannon,John Wagner,Hollywood Pictures,90000000,34693481,113493481,2.39 : 1,96
