,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
0,The Suicide Squad,2021,R,2h 12min,76,8.0,211,111,James Gunn,James Gunn,Atlas Entertainment,,,"$6,700,000",1.90 : 1
1,Jungle Cruise,2021,R,2h 7min,50,6.7,505,194,Jaume Collet-Serra,Michael Green,Davis Entertainment,"$200,000,000 ","$43,411,300","$71,041,300",2.39 : 1
2,Black Widow,2021,13+,2h 14min,67,6.9,2.2K,314,Cate Shortland,Eric Pearson,Marvel Studios,"$200,000,000 ","$168,858,535","$345,358,535",2.39 : 1
3,Jolt,2021,16+,1h 31min,48,5.5,335,90,Tanya Wexler,Scott Wascha,Busted Shark Productions,,,"$37,986",2.35 : 1
4,F9,2021,13+,2h 23min,58,5.3,1.4K,217,Justin Lin,Daniel Casey,One Race Films,,"$169,277,480","$643,047,480",2.39 : 1
5,Snake Eyes: G.I. Joe Origins,2021,PG-13,2h 1min,43,5.7,168,69,Robert Schwentke,Evan Spiliotopoulos,Paramount Pictures,"$88,000,000 ","$23,506,269","$30,006,269",2.39 : 1
6,The Tomorrow War,2021,16+,2h 18min,45,6.6,3.5K,194,Chris McKay,Zach Dean,Skydance Media,"$200,000,000 ",,,2.39 : 1
7,Gunpowder Milkshake,2021,R,1h 54min,48,6.0,515,104,Navot Papushado,Navot Papushado,StudioCanal,"$30,000,000 ",,"$698,593",2.39 : 1
8,Wrath of Man,2021,R,1h 59min,57,7.2,957,176,Guy Ritchie,Nicolas Boukhrief,Metro-Goldwyn-Mayer (MGM),,"$27,466,489","$102,466,489",2.39 : 1
9,Hitman's Wife's Bodyguard,2021,D17+,1h 40min,32,6.2,455,170,Patrick Hughes,Tom O'Connor,Millennium Media,,"$37,794,379","$66,163,133",2.39 : 1
10,The Forever Purge,2021,R,1h 43min,53,5.4,365,120,Everardo Gout,James DeMonaco,Universal Pictures,"$18,000,000 ","$43,021,925","$63,949,925",1.85 : 1
11,Suicide Squad,2016,17+,2h 3min,40,5.9,2.4K,680,David Ayer,David Ayer,Atlas Entertainment,"$175,000,000 ","$325,100,054","$746,846,894",2.39 : 1
12,Nobody,2021,17+,1h 32min,64,7.4,1.6K,240,Ilya Naishuller,Derek Kolstad,87North,"$16,000,000 ","$27,268,035","$55,405,035",2.35 : 1
13,Midnight in the Switchgrass,2021,R,1h 39min,21,4.3,85,31,Randall Emmett,Alan Horsnail,Emmett/Furla/Oasis Films (EFO Films),"$15,000,000 ",,,2.39:1
14,Escape Room: Tournament of Champions,2021,PG-13,1h 28min,48,6.1,124,59,Adam Robitel,Will Honley,Columbia Pictures,"$15,000,000 ","$21,249,409","$31,749,409",
15,Tenet,2020,17+,2h 30min,69,7.4,5.1K,492,Christopher Nolan,Christopher Nolan,Warner Bros.,"$205,000,000 ","$58,456,624","$363,656,624",
16,Army of the Dead,2021,R,2h 28min,57,5.8,3.8K,138,Zack Snyder,Zack Snyder,The Stone Quarry,"$70,000,000 ",,,1.78 : 1
17,Avengers: Endgame,2019,13+,3h 1min,78,8.4,9.2K,581,Anthony Russo,Christopher Markus,Marvel Studios,"$356,000,000 ","$858,373,000","$2,797,501,328",
18,The Magnificent Seven,2016,PG-13,2h 12min,54,6.9,542,391,Antoine Fuqua,Akira Kurosawa,Metro-Goldwyn-Mayer (MGM),"$90,000,000 ","$93,432,655","$162,360,636",2.39 : 1
19,Raya and the Last Dragon,2021,13+,1h 47min,75,7.4,1.1K,250,Don Hall,Qui Nguyen,Walt Disney Animation Studios,,"$54,696,610","$122,562,999",2.39 : 1
20,The Hunt,2020,17+,1h 30min,50,6.5,1K,280,Craig Zobel,Nick Cuse,Blumhouse Productions,"$14,000,000 ","$5,812,500","$11,473,631",2.39 : 1
21,Zack Snyder's Justice League,2021,R,4h 2min,54,8.1,7.7K,287,Zack Snyder,Jerry Siegel,Atlas Entertainment,,,,1.33 : 1
22,Infinite,2021,PG-13,1h 46min,28,5.4,583,54,Antoine Fuqua,Ian Shorr,Paramount Pictures,,,,2.39 : 1
23,Mortal Kombat,2021,17+,1h 50min,44,6.1,2.5K,260,Simon McQuoid,Greg Russo,New Line Cinema,,"$42,201,013","$83,601,013",2.39 : 1
24,The Hitman's Bodyguard,2017,17+,1h 58min,47,6.9,584,300,Patrick Hughes,Tom O'Connor,Summit Entertainment,"$30,000,000 ","$75,468,583","$176,600,207",2.39 : 1
25,The Matrix,1999,R,2h 16min,73,8.7,4.5K,345,Lana Wachowski,Lilly Wachowski,Warner Bros.,"$63,000,000 ","$171,479,930","$466,364,845",2.39 : 1
26,Godzilla vs. Kong,2021,PG-13,1h 53min,59,6.4,2K,338,Adam Wingard,Terry Rossio,Legendary Entertainment,"$200,000,000 ","$100,563,133","$467,463,133",2.40 : 1
27,Gladiator,2000,R,2h 35min,67,8.5,2.7K,219,Ridley Scott,David Franzoni,Dreamworks Pictures,"$103,000,000 ","$187,705,427","$465,380,802",2.39 : 1
28,Jurassic Park,1993,PG-13,2h 7min,68,8.1,1.2K,359,Steven Spielberg,Michael Crichton,Universal Pictures,"$63,000,000 ","$404,214,720","$1,033,928,303",
29,Those Who Wish Me Dead,2021,17+,1h 40min,59,6.0,847,170,Taylor Sheridan,Michael Koryta,BRON Studios,,"$7,347,103","$23,386,180",2.39 : 1
30,The Dark Knight,2008,PG-13,2h 32min,84,9.0,7.5K,434,Christopher Nolan,Jonathan Nolan,Warner Bros.,"$185,000,000 ","$534,858,444","$1,005,973,645",2.39 : 1
31,The Ice Road,2021,PG-13,1h 49min,42,5.6,718,68,Jonathan Hensleigh,Jonathan Hensleigh,Code Entertainment,,,"$2,486,641",2.39:1
32,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,92,8.8,5.5K,349,Peter Jackson,J.R.R. Tolkien,New Line Cinema,"$93,000,000 ","$315,710,750","$897,690,072",2.39 : 1
33,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,17+,1h 49min,60,6.1,2.5K,400,Cathy Yan,Christina Hodson,Clubhouse Pictures (II),"$84,500,000 ","$84,158,461","$201,858,461",2.39 : 1
34,The Gentlemen,2019,17+,1h 53min,51,7.8,1.5K,288,Guy Ritchie,Guy Ritchie,STX Films,"$22,000,000 ","$36,471,795","$115,171,795",2.39 : 1
35,Cosmic Sin,2021,R,1h 28min,9,2.5,699,52,Edward Drake,Edward Drake,308 Ent,,,"$1,020,003",2.35 : 1
36,Guardians of the Galaxy,2014,PG-13,2h 1min,76,8.0,1.4K,728,James Gunn,James Gunn,Marvel Studios,"$170,000,000 ","$333,718,600","$773,350,147",2.39 : 1
37,Inception,2010,D,2h 28min,74,8.8,4.3K,482,Christopher Nolan,Christopher Nolan,Warner Bros.,"$160,000,000 ","$292,576,195","$836,836,967",2.39 : 1
38,Avengers: Infinity War,2018,13+,2h 29min,68,8.4,4.4K,621,Anthony Russo,Christopher Markus,Marvel Studios,"$321,000,000 ","$678,815,482","$2,048,359,754",
39,Thor: Ragnarok,2017,13+,2h 10min,74,7.9,1.7K,529,Taika Waititi,Eric Pearson,Walt Disney Pictures,"$180,000,000 ","$315,058,289","$853,983,911",2.39 : 1
40,Escape Room,2019,17+,1h 39min,48,6.4,780,235,Adam Robitel,Bragi F. Schut,Columbia Pictures,"$9,000,000 ","$57,005,601","$155,712,077",2.39 : 1
41,Blade Runner 2049,2017,17+,2h 44min,81,8.0,2.3K,641,Denis Villeneuve,Hampton Fancher,Alcon Entertainment,"$150,000,000 ","$92,054,159","$259,334,548",2.39 : 1
42,Wonder Woman 1984,2020,PG-13,2h 31min,60,5.4,7K,397,Patty Jenkins,Patty Jenkins,Atlas Entertainment,,"$46,534,027","$166,534,027",2.39 : 1
43,Guns Akimbo,2019,17+,1h 38min,42,6.3,452,153,Jason Lei Howden,Jason Lei Howden,Altitude Film Entertainment,"$15,000,000 ",,"$1,034,769",2.39:1
44,The Fast and the Furious,2001,PG-13,1h 46min,58,6.8,1.1K,210,Rob Cohen,Ken Li,Universal Pictures,"$38,000,000 ","$144,533,925","$207,305,509",2.39 : 1
45,Blade Runner,1982,R,1h 57min,84,8.1,1.6K,274,Ridley Scott,Hampton Fancher,The Ladd Company,"$28,000,000 ","$32,868,943","$41,676,878",2.39 : 1
46,G.I. Joe: The Rise of Cobra,2009,PG-13,1h 58min,32,5.8,572,142,Stephen Sommers,Stuart Beattie,Paramount Pictures,"$175,000,000 ","$150,201,498","$302,469,017",2.39 : 1
47,Jumanji: Welcome to the Jungle,2017,13+,1h 59min,58,6.9,940,317,Jake Kasdan,Chris McKenna,Columbia Pictures,"$90,000,000 ","$404,540,171","$962,542,945",2.39 : 1
48,Captain Marvel,2019,13+,2h 3min,64,6.8,7.2K,527,Anna Boden,Anna Boden,Walt Disney Pictures,"$160,000,000 ","$426,829,839","$1,128,462,972",2.39 : 1
49,Ford v Ferrari,2019,13+,2h 32min,81,8.1,1.4K,350,James Mangold,Jez Butterworth,Chernin Entertainment,"$97,600,000 ","$117,624,357","$225,508,210",2.39 : 1
50,Watchmen,2009,R,2h 42min,56,7.6,1.4K,490,Zack Snyder,Dave Gibbons,Warner Bros.,"$130,000,000 ","$107,509,799","$185,382,813",2.39 : 1
51,Guardians of the Galaxy Vol. 2,2017,13+,2h 16min,67,7.6,1.1K,591,James Gunn,James Gunn,Marvel Studios,"$200,000,000 ","$389,813,101","$863,756,051",2.39 : 1
52,Kill Bill: Vol. 1,2003,21+,1h 51min,69,8.1,2.3K,343,Quentin Tarantino,Quentin Tarantino,Miramax,"$30,000,000 ","$70,099,045","$180,906,076",2.39 : 1
53,The Avengers,2012,17+,2h 23min,69,8.0,2K,762,Joss Whedon,Joss Whedon,Marvel Studios,"$220,000,000 ","$623,357,910","$1,518,815,515",1.85 : 1
54,The Twilight Saga: Eclipse,2010,PG-13,2h 4min,58,5.0,490,295,David Slade,Melissa Rosenberg,Summit Entertainment,"$68,000,000 ","$300,531,751","$698,491,347",2.35 : 1
55,Tombstone,1993,R,2h 10min,,7.8,,,George P. Cosmatos,Kevin Jarre,Hollywood Pictures,"$25,000,000 ","$56,505,065","$56,505,065",2.35 : 1
56,300,2006,R,1h 57min,52,7.6,2.2K,482,Zack Snyder,Zack Snyder,Warner Bros.,"$65,000,000 ","$210,614,939","$456,068,181",2.35 : 1
57,The Dark Knight Rises,2012,PG-13,2h 44min,78,8.4,3.4K,557,Christopher Nolan,Jonathan Nolan,Warner Bros.,"$250,000,000 ","$448,139,099","$1,081,142,612",2.39 : 1
58,Black Panther,2018,17+,2h 14min,88,7.3,3.3K,501,Ryan Coogler,Ryan Coogler,Marvel Studios,"$200,000,000 ","$700,426,566","$1,347,597,973",2.39 : 1
59,Terminator 2: Judgment Day,1991,R,2h 17min,75,8.5,1.3K,308,James Cameron,James Cameron,Carolco Pictures,"$102,000,000 ","$205,881,154","$520,881,154",2.39 : 1
60,Thor,2011,PG-13,1h 55min,57,7.0,970,574,Kenneth Branagh,Ashley Miller,Paramount Pictures,"$150,000,000 ","$181,030,624","$449,326,618",2.39 : 1
61,The Hunger Games,2012,PG-13,2h 22min,68,7.2,2K,492,Gary Ross,Gary Ross,Lionsgate,"$78,000,000 ","$408,010,692","$694,394,724",2.35 : 1
62,Spider-Man: Far from Home,2019,SU,2h 9min,69,7.5,2.1K,427,Jon Watts,Chris McKenna,Columbia Pictures,"$160,000,000 ","$390,532,085","$1,131,927,996",2.39 : 1
63,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,63,8.0,2.2K,293,Gore Verbinski,Ted Elliott,Walt Disney Pictures,"$140,000,000 ","$305,413,918","$654,264,015",2.39 : 1
64,Léon,1994,R,1h 50min,64,8.5,1.3K,145,Luc Besson,Luc Besson,Gaumont,"FRF 115,000,000 ","$19,501,238","$19,552,639",2.39 : 1
65,Fast & Furious Presents: Hobbs & Shaw,2019,17+,2h 17min,60,6.4,1.3K,318,David Leitch,Chris Morgan,Chris Morgan Productions,"$200,000,000 ","$173,956,935","$759,056,935",2.39 : 1
66,Deadpool,2016,D,1h 48min,65,8.0,1.5K,665,Tim Miller,Rhett Reese,Twentieth Century Fox,"$58,000,000 ","$363,070,709","$782,836,791",2.39 : 1
67,Captain America: The First Avenger,2011,PG-13,2h 4min,66,6.9,974,567,Joe Johnston,Christopher Markus,Paramount Pictures,"$140,000,000 ","$176,654,505","$370,569,774",2.39 : 1
68,Iron Man,2008,PG-13,2h 6min,79,7.9,1.4K,549,Jon Favreau,Mark Fergus,Paramount Pictures,"$140,000,000 ","$319,034,126","$585,796,247",2.39 : 1
69,The Accountant,2016,D,2h 8min,51,7.3,583,340,Gavin O'Connor,Bill Dubuque,Warner Bros.,"$44,000,000 ","$86,260,045","$155,160,045",2.39 : 1
70,Chaos Walking,2021,PG-13,1h 49min,38,5.7,571,151,Doug Liman,Patrick Ness,3 Arts Entertainment,"$125,000,000 ","$13,287,908","$24,942,613",2.39 : 1
71,Avatar,2009,PG-13,2h 42min,83,7.8,3.5K,488,James Cameron,James Cameron,Twentieth Century Fox,"$237,000,000 ","$760,507,625","$2,847,246,203",
72,Spider-Man: Homecoming,2017,13+,2h 13min,73,7.4,1.4K,581,Jon Watts,Jonathan Goldstein,Columbia Pictures,"$175,000,000 ","$334,201,140","$880,166,924",2.39 : 1
73,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,2h 21min,53,6.5,7.8K,516,J.J. Abrams,Chris Terrio,Walt Disney Pictures,"$275,000,000 ","$515,202,542","$1,078,232,589",2.39 : 1
74,Spider-Man: Into the Spider-Verse,2018,SU,1h 57min,87,8.4,2K,412,Bob Persichetti,Phil Lord,Sony Pictures Entertainment (SPE),"$90,000,000 ","$190,241,310","$375,540,831",2.39 : 1
75,Avengers: Age of Ultron,2015,13+,2h 21min,66,7.3,1.3K,698,Joss Whedon,Joss Whedon,Marvel Studios,"$250,000,000 ","$459,005,868","$1,402,809,540",2.39 : 1
76,John Wick,2014,R,1h 41min,68,7.4,1.3K,464,Chad Stahelski,Derek Kolstad,Summit Entertainment,"$20,000,000 ","$43,037,835","$86,081,711",2.39 : 1
77,Deadpool 2,2018,17+,1h 59min,66,7.7,1.3K,530,David Leitch,Rhett Reese,Twentieth Century Fox,"$110,000,000 ","$324,591,735","$786,470,484",2.39 : 1
78,Baywatch,2017,21+,1h 56min,37,5.5,492,333,Seth Gordon,Michael Berk,Paramount Pictures,"$69,000,000 ","$58,060,186","$177,856,751",2.39 : 1
79,Greenland,2020,PG-13,1h 59min,64,6.4,1.5K,185,Ric Roman Waugh,Chris Sparling,STX Films,"$56,000,000 ",,"$52,300,000",2.39 : 1
80,Raiders of the Lost Ark,1981,PG,1h 55min,85,8.4,1K,272,Steven Spielberg,Lawrence Kasdan,Paramount Pictures,"$18,000,000 ","$248,159,971","$389,925,971",2.39 : 1
81,Tom Clancy's Without Remorse,2021,R,1h 49min,41,5.8,1.6K,151,Stefano Sollima,Taylor Sheridan,New Republic Pictures,,,,2.39 : 1
82,Fast & Furious 7,2015,17+,2h 17min,67,7.1,773,463,James Wan,Chris Morgan,Universal Pictures,"$190,000,000 ","$353,007,020","$1,515,341,399",2.39 : 1
83,Mad Max: Fury Road,2015,R,2h,90,8.1,2.1K,840,George Miller,George Miller,Warner Bros.,"$150,000,000 ","$154,058,340","$375,658,750",2.39 : 1
84,The Mummy,1999,PG-13,2h 4min,48,7.0,1.1K,134,Stephen Sommers,Stephen Sommers,Universal Pictures,"$80,000,000 ","$155,385,488","$415,933,406",2.39 : 1
85,The Misfits,2021,R,1h 34min,25,4.1,315,18,Renny Harlin,Kurt Wimmer,FilmGate Productions,"$15,000,000 ",,"$1,275,530",2.39:1
86,Ghostbusters,2016,13+,1h 57min,60,6.7,2.3K,694,Paul Feig,Katie Dippold,Columbia Pictures,"$144,000,000 ","$128,350,574","$229,147,509",2.39 : 1
87,Sicario,2015,R,2h 1min,82,7.6,793,552,Denis Villeneuve,Taylor Sheridan,Lionsgate,"$30,000,000 ","$46,889,293","$84,872,444",2.39 : 1
88,Edge of Tomorrow,2014,PG-13,1h 53min,71,7.9,1K,633,Doug Liman,Christopher McQuarrie,Warner Bros.,"$178,000,000 ","$100,206,256","$370,541,256",2.35 : 1
89,The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,94,8.9,3.8K,359,Peter Jackson,J.R.R. Tolkien,New Line Cinema,"$94,000,000 ","$377,845,905","$1,146,030,912",2.39 : 1
90,Baby Driver,2017,17+,1h 53min,86,7.6,1.2K,595,Edgar Wright,Edgar Wright,TriStar Pictures,"$34,000,000 ","$107,825,862","$226,945,087",2.39 : 1
91,Spider-Man,2002,PG-13,2h 1min,73,7.3,2.1K,331,Sam Raimi,Stan Lee,Columbia Pictures,"$139,000,000 ","$407,022,860","$825,025,036",1.85 : 1
92,Jumanji: The Next Level,2019,PG-13,2h 3min,58,6.7,1K,248,Jake Kasdan,Jake Kasdan,Columbia Pictures,"$125,000,000 ","$320,314,960","$800,059,707",2.39 : 1
93,Love and Monsters,2020,PG-13,1h 49min,63,7.0,896,177,Michael Matthews,Brian Duffield,Paramount Pictures,,"$1,070,714","$1,122,066",2.35 : 1
94,Dunkirk,2017,13+,1h 46min,94,7.8,2.5K,635,Christopher Nolan,Christopher Nolan,Syncopy,"$100,000,000 ","$189,740,665","$527,016,307",
95,Star Trek,2009,PG-13,2h 7min,82,7.9,1.6K,528,J.J. Abrams,Roberto Orci,Paramount Pictures,"$150,000,000 ","$257,730,019","$385,680,446",2.35 : 1
96,The Fast and the Furious: Tokyo Drift,2006,PG-13,1h 44min,45,6.0,484,184,Justin Lin,Chris Morgan,Universal Pictures,"$85,000,000 ","$62,514,415","$158,964,610",2.39 : 1
97,Independence Day,1996,PG-13,2h 25min,59,7.0,994,206,Roland Emmerich,Dean Devlin,Twentieth Century Fox,"$75,000,000 ","$306,169,268","$817,400,891",2.39 : 1
98,Aliens,1986,R,2h 17min,84,8.3,1.4K,214,James Cameron,James Cameron,Twentieth Century Fox,"$18,500,000 ","$85,160,248","$131,060,248",1.85 : 1
99,Cold Pursuit,2019,17+,1h 59min,57,6.2,721,216,Hans Petter Moland,Frank Baldwin,Summit Entertainment,"$60,000,000 ","$32,138,862","$76,419,755",2.39 : 1
100,The Matrix Reloaded,2003,R,2h 18min,62,7.2,2.8K,161,Lana Wachowski,Lilly Wachowski,Warner Bros.,"$150,000,000 ","$281,576,461","$741,847,937",2.39 : 1
101,Crawl,2019,17+,1h 27min,60,6.1,1K,316,Alexandre Aja,Michael Rasmussen,Paramount Pictures,"$13,500,000 ","$39,014,193","$91,542,097",2.35 : 1
102,Warcraft,2016,13+,2h 3min,32,6.8,1K,369,Duncan Jones,Charles Leavitt,Legendary Entertainment,"$160,000,000 ","$47,365,290","$439,048,914",2.39 : 1
103,The Last Airbender,2010,PG,1h 43min,20,4.0,1.6K,298,M. Night Shyamalan,M. Night Shyamalan,Paramount Pictures,"$150,000,000 ","$131,772,187","$319,713,881",2.35 : 1
104,Aquaman,2018,13+,2h 23min,55,6.9,4.3K,458,James Wan,David Leslie Johnson-McGoldrick,Warner Bros.,"$160,000,000 ","$335,061,807","$1,148,485,886",2.39 : 1
105,G.I. Joe: Retaliation,2013,PG-13,1h 50min,41,5.8,333,370,Jon M. Chu,Rhett Reese,Paramount Pictures,"$130,000,000 ","$122,523,060","$375,740,705",2.39 : 1
106,Kingsman: The Secret Service,2014,17+,2h 9min,60,7.7,984,465,Matthew Vaughn,Jane Goldman,Twentieth Century Fox,"$81,000,000 ","$128,261,724","$414,351,546",2.39 : 1
107,The Equalizer,2014,R,2h 12min,57,7.2,671,329,Antoine Fuqua,Richard Wenk,Columbia Pictures,"$55,000,000 ","$101,530,738","$192,330,738",2.39 : 1
108,The Marksman,2021,PG-13,1h 48min,44,5.6,320,88,Robert Lorenz,Chris Charles,Cutting Edge Group,"$23,000,000 ","$15,566,093","$22,776,754",2.39 : 1
109,Gemini Man,2019,PG-13,1h 57min,38,5.7,1.1K,285,Ang Lee,David Benioff,Skydance Media,"$138,000,000 ","$48,546,770","$173,469,516",1.85 : 1
110,Scott Pilgrim vs. the World,2010,PG-13,1h 52min,69,7.5,771,431,Edgar Wright,Michael Bacall,Universal Pictures,"$60,000,000 ","$32,777,690","$48,917,974",1.85 : 1
111,Anna,2019,17+,1h 58min,40,6.6,739,140,Luc Besson,Luc Besson,Summit Entertainment,"€30,690,000 ","$7,743,794","$31,626,978",2.35 : 1
112,The Fifth Element,1997,PG-13,2h 6min,52,7.7,907,187,Luc Besson,Luc Besson,Gaumont,"$93,000,000 ","$63,820,180","$263,920,180",2.39 : 1
113,The Old Guard,2020,R,2h 5min,70,6.7,1.7K,257,Gina Prince-Bythewood,Greg Rucka,Netflix,,,,2.39 : 1
114,Venom,2018,13+,1h 52min,35,6.7,3.7K,419,Ruben Fleischer,Jeff Pinkner,Avi Arad Productions,"$100,000,000 ","$213,515,506","$856,085,151",2.39 : 1
115,Star Wars,1977,PG,2h 1min,90,8.6,1.9K,200,George Lucas,George Lucas,Lucasfilm,"$11,000,000 ","$460,998,507","$775,398,007",
116,Die in a Gunfight,2021,R,1h 32min,23,4.4,20,22,Collin Schiffli,Andrew Barrer,Align,,,"$37,954",2.39 : 1
117,6 Underground,2019,R,2h 8min,41,6.1,2.4K,123,Michael Bay,Paul Wernick,Skydance Media,"$150,000,000 ",,,2.39 : 1
118,The Fate of the Furious,2017,17+,2h 16min,56,6.6,642,437,F. Gary Gray,Gary Scott Thompson,Universal Pictures,"$250,000,000 ","$226,008,385","$1,236,005,118",2.39 : 1
119,Captain America: Civil War,2016,13+,2h 27min,75,7.8,1.4K,673,Anthony Russo,Christopher Markus,Marvel Studios,"$250,000,000 ","$408,084,349","$1,153,337,496",2.39 : 1
120,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,17+,1h 57min,75,8.3,297,39,Haruo Sotozaki,Koyoharu Gotouge,Aniplex,,"$47,700,000","$453,084,942",1.78 : 1
121,Mulan,2020,13+,1h 55min,66,5.7,2.9K,255,Niki Caro,Rick Jaffa,Walt Disney Pictures,"$200,000,000 ",,"$66,800,000",2.39 : 1
122,Ready Player One,2018,13+,2h 20min,64,7.4,2.1K,598,Steven Spielberg,Zak Penn,Warner Bros.,"$175,000,000 ","$137,690,172","$582,893,671",2.39 : 1
123,Batman Begins,2005,D,2h 20min,70,8.2,3K,332,Christopher Nolan,Bob Kane,Warner Bros.,"$150,000,000 ","$206,852,432","$373,661,946",2.39 : 1
124,Monster Hunter,2020,13+,1h 43min,47,5.3,957,137,Paul W.S. Anderson,Paul W.S. Anderson,Constantin Film,"$60,000,000 ","$15,162,470","$42,145,959",2.39 : 1
125,Wonder Woman,2017,13+,2h 21min,76,7.4,2.4K,724,Patty Jenkins,Allan Heinberg,Warner Bros.,"$149,000,000 ","$412,815,408","$822,824,522",2.39 : 1
126,Doctor Strange,2016,13+,1h 55min,72,7.5,1K,488,Scott Derrickson,Jon Spaihts,Marvel Studios,"$165,000,000 ","$232,641,920","$677,796,076",
127,Ready or Not,2019,17+,1h 35min,64,6.9,1K,357,Matt Bettinelli-Olpin,Guy Busick,Fox Searchlight Pictures,"$6,000,000 ","$28,714,231","$57,615,777",2.39 : 1
128,The Girl in the Spider's Web,2018,17+,1h 55min,43,6.1,462,210,Fede Alvarez,David Lagercrantz,Columbia Pictures,"$43,000,000 ","$14,841,338","$35,164,920",2.39 : 1
129,Kong: Skull Island,2017,13+,1h 58min,62,6.6,1K,604,Jordan Vogt-Roberts,Dan Gilroy,Warner Bros.,"$185,000,000 ","$168,052,812","$566,652,812",2.41 : 1
130,The Perfect Storm,2000,PG-13,2h 10min,59,6.4,808,191,Wolfgang Petersen,Sebastian Junger,Warner Bros.,"$140,000,000 ","$182,618,434","$328,718,434",2.39 : 1
131,Underworld,2003,R,2h 1min,42,7.0,856,229,Len Wiseman,Kevin Grevioux,Lakeshore Entertainment,"$22,000,000 ","$51,970,690","$95,708,457",2.35 : 1
132,The Revenant,2015,R,2h 36min,76,8.0,1.7K,653,Alejandro G. Iñárritu,Mark L. Smith,New Regency Productions,"$135,000,000 ","$183,637,894","$532,950,503",2.39 : 1
133,Justice League,2017,13+,2h,45,6.1,2.2K,480,Zack Snyder,Jerry Siegel,Warner Bros.,"$300,000,000 ","$229,024,295","$657,926,987",1.85 : 1
134,Iron Man 2,2010,PG-13,2h 4min,57,7.0,942,502,Jon Favreau,Justin Theroux,Paramount Pictures,"$200,000,000 ","$312,433,331","$623,933,331",2.39 : 1
135,Iron Man Three,2013,13+,2h 10min,62,7.1,1.3K,649,Shane Black,Drew Pearce,Marvel Studios,"$200,000,000 ","$409,013,994","$1,214,811,252",2.39 : 1
136,The Lord of the Rings: The Two Towers,2002,PG-13,2h 59min,87,8.7,2.6K,329,Peter Jackson,J.R.R. Tolkien,New Line Cinema,"$94,000,000 ","$342,551,365","$947,495,095",2.39 : 1
137,Jurassic World,2015,PG-13,2h 4min,59,7.0,1.5K,698,Colin Trevorrow,Rick Jaffa,Universal Pictures,"$150,000,000 ","$652,385,625","$1,670,516,444",2.00 : 1
138,Shazam!,2019,13+,2h 12min,71,7.0,2.1K,395,David F. Sandberg,Henry Gayden,Warner Bros.,"$100,000,000 ","$140,371,656","$365,971,656",2.39 : 1
139,Oldeuboi,2003,R,2h,77,8.4,1K,341,Park Chan-Wook,Garon Tsuchiya,Show East,"$3,000,000 ","$707,481","$15,189,934",2.35 : 1
140,John Wick: Chapter 3 - Parabellum,2019,17+,2h 10min,73,7.4,2.3K,394,Chad Stahelski,Derek Kolstad,Lionsgate,"$75,000,000 ","$171,015,687","$327,281,779",2.39 : 1
141,Ant-Man,2015,13+,1h 57min,64,7.3,771,592,Peyton Reed,Edgar Wright,Gary Sanchez Productions,"$130,000,000 ","$180,202,163","$519,311,965",1.85 : 1
142,Captain America: The Winter Soldier,2014,PG-13,2h 16min,70,7.7,1K,619,Anthony Russo,Christopher Markus,Marvel Entertainment,"$170,000,000 ","$259,766,572","$714,421,503",2.39 : 1
143,Furious 6,2013,PG-13,2h 10min,61,7.0,514,441,Justin Lin,Chris Morgan,Universal Pictures,"$160,000,000 ","$238,679,850","$788,680,968",2.39 : 1
144,Ocean's Eight,2018,17+,1h 50min,61,6.3,1.1K,352,Gary Ross,Gary Ross,Warner Bros.,"$70,000,000 ","$140,218,711","$297,718,711",2.39 : 1
145,Deep Impact,1998,PG-13,2h,,6.2,,,Mimi Leder,Bruce Joel Rubin,Paramount Pictures,"$75,000,000 ","$140,464,664","$349,464,664",2.39 : 1
146,Pirates of the Caribbean: Dead Men Tell No Tales,2017,13+,2h 9min,39,6.5,691,418,Joachim Rønning,Jeff Nathanson,Walt Disney Pictures,"$230,000,000 ","$172,558,876","$794,881,442",2.39 : 1
147,Casino Royale,2006,PG-13,2h 24min,80,8.0,2.4K,188,Martin Campbell,Neal Purvis,Columbia Pictures,"$150,000,000 ","$167,445,960","$616,502,912",2.39 : 1
148,Alita: Battle Angel,2019,13+,2h 2min,53,7.3,2.8K,382,Robert Rodriguez,James Cameron,Twentieth Century Fox,"$170,000,000 ","$85,838,210","$404,980,543",2.39 : 1
149,Terminator: Dark Fate,2019,R,2h 8min,54,6.2,3.1K,388,Tim Miller,David S. Goyer,Paramount Pictures,"$185,000,000 ","$62,253,077","$261,119,292",2.39 : 1
150,Harry Potter and the Order of the Phoenix,2007,PG-13,2h 18min,71,7.5,1.2K,354,David Yates,Michael Goldenberg,Warner Bros.,"$150,000,000 ","$292,353,413","$942,172,396",2.39 : 1
151,The New Mutants,2020,PG-13,1h 34min,43,5.3,1.2K,194,Josh Boone,Josh Boone,20th Century Studios,"$67,000,000 ","$23,852,659","$46,996,076",
