,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
1911,Replicant,2001,R,1h 40min,,5.4,112,52,Ringo Lam,Lawrence Riggins,Millennium Films,"$17,000,000 ",,"$894,844",1.85 : 1
1912,Longshot,2001,PG-13,1h 33min,,2.7,32,3,Lionel C. Martin,Tony DeCamillis,PearlCam Productions,"$20,300,000 ",,,
1913,Ong Bak 2,2008,R,1h 38min,47,6.2,81,120,Tony Jaa,Tony Jaa,Sahamongkol Film International,"THB 300,000,000 ","$102,458","$8,936,663",2.35 : 1
1914,"Fear, Inc.",2016,R,1h 30min,,5.6,55,34,Vincent Masciale,Luke Barnett,Lone Suspect,,,,2.39:1
1915,Saala Khadoos,2016,13+,1h 49min,,7.6,49,27,Sudha Kongara,Sudha Kongara,Oveyen Studio,,"$76,931","$94,787",
1916,V.I. Warshawski,1991,R,1h 29min,,5.0,,,Jeff Kanew,Sara Paretsky,Hollywood Pictures,,"$11,128,309","$11,128,309",1.85 : 1
1917,Operation Crossbow,1965,PG-13,1h 55min,,6.6,,,Michael Anderson,Duilio Coletti,Metro-Goldwyn-Mayer British Studios,,,,2.35 : 1
1918,Pik lik foh,1995,R,1h 50min,,6.4,,,Gordon Chan,Gordon Chan,Golden Harvest Company,"HK$2,000,000,000 ",,,2.35 : 1
1919,Bounty Killer,2013,R,1h 32min,48,5.5,59,143,Henry Saine,Jason Dodson,Just Chorizo Productions,,,,2.35 : 1
1920,Mardaani 2,2019,17+,1h 43min,,7.4,171,20,Gopi Puthran,Gopi Puthran,Yash Raj Films,"$2,800,000 ",,"$8,680,109",
1921,3 Ninjas: Knuckle Up,1993,PG-13,1h 25min,,4.3,,,Sang-ok Shin,Alex S. Kim,Sheen Productions,,"$413,479","$413,479",1.85 : 1
1922,Wu xia,2011,R,1h 55min,62,7.1,51,122,Peter Ho-Sun Chan,Oi Wah Lam,Dingsheng Cultural Industry Investment,,"$11,137","$29,282,887",2.35 : 1
1923,Mutant Chronicles,2008,R,1h 51min,,5.2,174,89,Simon Hunter,Philip Eisner,First Foot Films,"$25,000,000 ","$6,820","$2,131,057",1.85 : 1
1924,Wake of Death,2004,R,1h 31min,,5.7,,,Philippe Martinez,Mick Davis,Bauer Martinez Studios,"$14,000,000 ",,"$521,918",1.85 : 1
1925,9 rota,2005,R,2h 19min,,7.1,78,25,Fedor Bondarchuk,Iskander Galiev,Art Pictures Group,"$9,500,000 ",,"$26,146,165",2.35 : 1
1926,L'instinct de mort,2008,R,1h 53min,71,7.5,67,142,Jean-François Richet,Jacques Mesrine,La Petite Reine,,"$551,697","$31,076,533",2.35 : 1
1927,Ong-bak 3,2010,R,1h 39min,38,5.0,51,73,Tony Jaa,Tony Jaa,Iyara Films,,"$14,890","$2,340,516",2.35 : 1
1928,Dobermann,1997,R,1h 43min,,6.6,87,30,Jan Kounen,Joël Houssin,Canal+,"FRF 33,000,000 ",,,2.35 : 1
1929,Isolation,2015,R,1h 26min,,4.6,9,2,Shane Dax Taylor,Chad Law,Hollywood Media Bridge,"$2,000,000 ",,,
1930,Redline,2007,PG-13,1h 42min,24,4.0,102,33,Andy Cheng,Robert Foreman,Chicago Pictures,"$26,000,000 ","$6,881,022","$8,267,379",2.35 : 1
1931,Chik loh goh yeung,1992,R,1h 40min,,6.0,22,36,Clarence Fok,Jing Wong,Golden Harvest Company,,"$28,676",,1.85 : 1
1932,Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,2019,17+,1h 57min,,8.1,9,3,Tomonori Sudô,Kinoko Nasu,Type-Moon,,"$420,595","$17,296,294",
1933,Hunger,2009,R,1h 41min,,5.3,,,Steven Hentges,L.D. Goffigan,5 States,"$625,000 ",,,1.85 : 1
1934,Attrition,2018,R,1h 25min,,4.2,,,Mathieu Weschler,Steven Seagal,Saradan Media,"$3,000,000 ",,,
1935,Electra,1996,R,1h 27min,,3.6,,,Julian Grant,Lou Aguilar,Electra Film Productions Inc.,"$1,000,000 ",,,
1936,Gojira tai Hedora,1971,PG,1h 25min,,6.1,,,Yoshimitsu Banno,Yoshimitsu Banno,Toho Company,"$250,000 ",,,2.35 : 1
1937,Raw Justice,1994,R,1h 32min,,4.1,,,David A. Prior,David A. Prior,West Side Studios,,,,1.85 : 1
1938,Gang Related,1997,R,1h 56min,,6.5,37,22,Jim Kouf,Jim Kouf,Orion Pictures,,"$5,906,773","$5,906,773",2.35 : 1
1939,"Ruben Brandt, a gyujto",2018,R,1h 36min,75,7.5,39,60,Milorad Krstic,Milorad Krstic,Ruben Brandt,,"$117,963","$587,993",2.35 : 1
1940,L'ennemi public n°1,2008,R,2h 13min,72,7.5,38,117,Jean-François Richet,Abdel Raouf Dafri,La Petite Reine,"€21,166,000 ","$275,387","$321,353",2.35 : 1
1941,Legendary,2013,PG-13,1h 32min,,3.7,24,31,Eric Styles,Andy Briggs,China Film Group Corporation (CFGC),"$12,000,000 ",,"$5,501,541",2.35 : 1
1942,Gallowwalkers,2012,R,1h 30min,,3.6,78,82,Andrew Goth,Joanne Reay,Boundless Pictures,"$17,000,000 ",,"$141,696",2.35 : 1
1943,Geolkapseu,2019,17+,1h 47min,,6.0,,,Jung Da-Won,Jung Da-Won,CJ Entertainment,,"$104,578","$12,147,170",2.35 : 1
1944,Hiteumaen,2020,17+,1h 50min,,6.3,,,Won-sub Choi,Won-sub Choi,,,,"$17,601,351",1.78 : 1
1945,The Order,2001,R,1h 29min,,4.7,66,30,Sheldon Lettich,Les Weldon,777 Films Corporation,"$12,000,000 ",,"$524,637",1.85 : 1
1946,Fire on the Amazon,1993,R,1h 27min,,3.5,35,16,Luis Llosa,Luana Anders,Concorde-New Horizons,"$2,000,000 ",,,1.85 : 1
1947,Scorched Earth,2018,R,1h 36min,32,4.5,59,27,Peter Howitt,Kevin Leeson,Lighthouse Pictures,,,,1.85 : 1
1948,The Crow: Salvation,2000,R,1h 42min,,4.9,153,20,Bharat Nalluri,James O'Barr,Fallen Bird Productions Inc.,"$10,000,000 ",,,1.85 : 1
1949,Black Scorpion,1995,R,1h 32min,,4.7,,,Jonathan Winfrey,Craig J. Nevius,Concorde-New Horizons,,,,
1950,Silent Trigger,1996,R,1h 33min,,5.5,,,Russell Mulcahy,Sergio Altieri,Algonquin Productions Limited,"$9,000,000 ",,,2.35 : 1
1951,Metoroporisu,2001,PG-13,1h 48min,75,7.2,131,94,Rintaro,Osamu Tezuka,Bandai Visual Company,"$15,000,000 ","$722,932","$4,035,192",1.85 : 1
1952,Gun Shy,2017,17+,1h 32min,21,4.1,42,24,Simon West,Mark Haskell Smith,Salty Film,,,"$2,480",2.35 : 1
1953,Joshua Tree,1993,R,1h 46min,,5.7,37,21,Vic Armstrong,Steven Pressfield,Vision International,"$9,000,000 ",,,2.35 : 1
1954,Ra.One,2011,17+,2h 36min,60,4.7,326,59,Anubhav Sinha,David Benullo,Red Chillies Entertainment,"$24,000,000 ","$2,511,689","$35,911,689",2.35 : 1
1955,Tekkon kinkurîto,2006,R,1h 51min,65,7.6,34,59,Michael Arias,Anthony Weintraub,Aniplex,"$4,200,000 ","$6,000","$42,840",2.35 : 1
1956,Gekijouban Fate/Stay Night: Heaven's Feel - I. Presage Flower,2017,13+,2h,,7.5,11,7,Tomonori Sudô,Jalen K. Cassell,Aniplex,,"$193,833","$17,423,075",1.78 : 1
1957,Zombi 3,1988,R,1h 35min,,4.9,115,87,Lucio Fulci,Claudio Fragasso,Flora Film,,,,1.85 : 1
1958,Gintama,2017,13+,2h 11min,,6.1,12,17,Yûichi Fukuda,Hideaki Sorachi,Aniplex,,,"$45,746,967",1.85 : 1
1959,Birth of the Dragon,2016,PG-13,1h 35min,35,5.6,194,61,George Nolfi,Stephen J. Rivele,Anomaly Entertainment,"$31,000,000 ","$6,901,965","$7,215,027",
1960,Edison,2005,R,1h 39min,,5.3,,,David J. Burke,David J. Burke,Millennium Films,"$25,000,000 ",,"$4,165,675",2.35 : 1
1961,Dou foh sin,2007,R,1h 28min,38,6.8,40,63,Wilson Yip,Kam-Yuen Szeto,Mandarin Films Distribution,"$8,000,000 ","$5,151","$6,177,725",2.35 : 1
1962,Bhavesh Joshi Superhero,2018,17+,2h 34min,,7.6,227,18,Vikramaditya Motwane,Vikramaditya Motwane,Eros Worldwide,,"$57,376","$334,723",2.35 : 1
1963,That Darn Cat,1997,PG,1h 29min,,4.7,,,Bob Spiers,Gordon Gordon,Walt Disney Pictures,,"$18,301,610","$18,301,610",1.85 : 1
1964,Tôkyô gûru 'S',2019,17+,1h 41min,,5.3,,,Kazuhiko Hiramaki,Sui Ishida,Geek Sight,,,"$7,365",
1965,Dead Trigger,2017,R,1h 31min,,3.3,26,14,Mike Cuff,Heinz Treschnitzer,Aldamisa Entertainment,,,"$151,493",2.35 : 1
1966,NGK,2019,Not Rated,2h 28min,,6.0,136,10,K. Selvaraghavan,K. Selvaraghavan,Dream Warrior Pictures,,,"$430,902",2.35 : 1
1967,Robot Overlords,2014,PG-13,1h 30min,47,4.6,69,69,Jon Wright,Mark Stay,Pinewood Studios,"$21,000,000 ",,"$943,502",2.35 : 1
1968,Triple Cross,1966,PG,2h 20min,,6.3,44,14,Terence Young,René Hardy,Cineurop,,,,1.66 : 1
1969,Young Ones,2014,R,1h 40min,47,5.9,48,78,Jake Paltrow,Jake Paltrow,Subotica,,,"$7,740",2.35 : 1
1970,Bloodsport 2,1996,R,1h 30min,,4.8,,,Alan Mehrez,Jeff Schechter,FM Entertainment International N.V.,,"$684,351","$684,351",
1971,Jing wu feng yun: Chen Zhen,2010,R,1h 46min,49,6.3,43,92,Andrew Lau,Gordon Chan,Media Asia Films,,"$50,433","$27,390,678",2.35 : 1
1972,Saints and Soldiers,2003,PG-13,1h 30min,56,6.7,172,33,Ryan Little,Geoffrey Panos,Go Films,"$780,000 ","$1,310,470","$1,310,470",1.78 : 1 / (high definition)
1973,Chui lung,2017,17+,2h 8min,,6.7,27,25,Jason Kwan,Koon-Nam Lui,Mega-Vision Project Production,,"$456,854","$87,965,942",2.39 : 1
1974,Double Take,2001,PG-13,1h 28min,,5.4,,,George Gallo,Graham Greene,Kumbaya Productions Inc.,"$24,000,000 ","$29,831,583","$31,603,059",2.35 : 1
1975,Firestorm,1998,R,1h 29min,,4.8,52,50,Dean Semler,Chris Soth,Twentieth Century Fox,"$19,000,000 ","$8,165,212","$8,165,212",2.35 : 1
